epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6801,1.00419,2.46317,1.18055,0.01569,0.98261,0.83385,0.6068,0.71002,2.5379,0.9619,0.00022,0.00022,0.00022
2,40.485,0.91863,1.83473,1.13895,0.01556,0.97391,0.87223,0.61728,0.84915,2.35319,1.01084,0.000448615,0.000448615,0.000448615
3,50.4575,1.04634,1.43922,1.23849,1,0.44623,0.8629,0.64028,0.83671,2.08332,1.00754,0.00066535,0.00066535,0.00066535
4,60.6981,0.98151,1.17561,1.17856,0.90792,0.68593,0.85311,0.61165,0.87778,1.88699,1.07112,0.000870205,0.000870205,0.000870205
5,71.2791,1.04122,1.12363,1.18514,0.91193,0.8,0.87749,0.60063,0.9815,1.66312,1.07498,0.00106318,0.00106318,0.00106318
6,82.7923,1.02886,1.16248,1.18807,0.91267,0.7913,0.88572,0.61844,0.99017,1.43752,1.10235,0.00124427,0.00124427,0.00124427
7,95.0153,1.02262,1.08614,1.17385,0.85767,0.86087,0.88529,0.57808,1.02287,1.35437,1.18527,0.00141349,0.00141349,0.00141349
8,108.212,0.94025,1.00614,1.11157,0.72681,0.70435,0.79207,0.46725,1.17497,1.45021,1.27547,0.00157083,0.00157083,0.00157083
9,121.375,0.95142,1.01644,1.11396,0.87415,0.83478,0.92305,0.64355,0.96277,1.23603,1.12866,0.001604,0.001604,0.001604
10,134.176,0.95856,1.00628,1.11942,0.88727,0.82132,0.89132,0.56838,1.05366,1.36612,1.26439,0.0015545,0.0015545,0.0015545
11,146.118,0.92308,0.95227,1.11638,0.96217,0.88459,0.94358,0.68515,0.84727,1.19965,1.12772,0.001505,0.001505,0.001505
12,159.133,0.93031,0.9344,1.11025,0.95237,0.86931,0.9526,0.68696,0.85509,1.24304,1.11308,0.0014555,0.0014555,0.0014555
13,172.563,0.94015,0.91125,1.12821,0.89156,0.88696,0.93991,0.71751,0.79871,1.06383,1.05598,0.001406,0.001406,0.001406
14,187.69,0.88608,0.87566,1.10813,0.91965,0.86957,0.90404,0.69269,0.76701,0.99797,1.03518,0.0013565,0.0013565,0.0013565
15,201.912,0.88566,0.90432,1.1045,0.95937,0.89565,0.95911,0.75506,0.72565,0.93491,1.03532,0.001307,0.001307,0.001307
16,218.008,0.82467,0.84687,1.07167,0.96058,0.89565,0.94627,0.75476,0.70627,0.89824,1.02308,0.0012575,0.0012575,0.0012575
17,233.104,0.81415,0.83092,1.07146,0.96915,0.84348,0.88352,0.6777,0.78517,0.9407,1.0689,0.001208,0.001208,0.001208
18,247.83,0.87308,0.87544,1.11409,0.96143,0.92174,0.9594,0.75255,0.71846,0.90407,1.02695,0.0011585,0.0011585,0.0011585
19,263.033,0.78094,0.78603,1.04738,0.92866,0.93913,0.94834,0.76085,0.6612,0.88908,1.02217,0.001109,0.001109,0.001109
20,279.208,0.76078,0.78181,1.03787,0.95516,0.92613,0.96355,0.76136,0.69342,0.88046,1.01578,0.0010595,0.0010595,0.0010595
21,294.676,0.78386,0.77859,1.05893,0.98902,0.89565,0.9706,0.79062,0.63071,0.76562,0.97302,0.00101,0.00101,0.00101
22,309.402,0.75652,0.74745,1.03948,0.97256,0.92459,0.97377,0.78506,0.65945,0.73489,0.99608,0.0009605,0.0009605,0.0009605
23,326.412,0.75478,0.80837,1.05252,0.95801,0.93043,0.98084,0.80418,0.64867,0.72602,0.95667,0.000911,0.000911,0.000911
24,341.891,0.74014,0.72416,1.03115,0.94345,0.93913,0.98009,0.81008,0.622,0.7625,0.94959,0.0008615,0.0008615,0.0008615
25,356.955,0.75727,0.75586,1.05085,0.95346,0.89072,0.92708,0.76794,0.58683,0.66505,0.94058,0.000812,0.000812,0.000812
26,372.054,0.73508,0.71047,1.03541,0.97706,0.94783,0.98653,0.81185,0.59538,0.65983,0.94755,0.0007625,0.0007625,0.0007625
27,387.839,0.75074,0.71835,1.03523,0.98145,0.91304,0.98217,0.80052,0.60563,0.63578,0.95643,0.000713,0.000713,0.000713
28,402.366,0.72811,0.71919,1.03774,0.96258,0.93043,0.9762,0.79764,0.60872,0.62619,0.9577,0.0006635,0.0006635,0.0006635
29,416.148,0.71343,0.65887,1.01394,0.94017,0.95644,0.97495,0.81142,0.55511,0.61702,0.94639,0.000614,0.000614,0.000614
30,430.496,0.72837,0.6812,1.03813,0.96132,0.93043,0.97816,0.81647,0.57759,0.61062,0.9592,0.0005645,0.0005645,0.0005645
31,445.67,0.62553,0.7329,0.97259,0.97344,0.95599,0.97503,0.82287,0.56539,0.62468,0.95009,0.000515,0.000515,0.000515
32,461.919,0.57507,0.7252,0.93202,0.96195,0.96522,0.97182,0.81805,0.5839,0.64712,0.95812,0.0004655,0.0004655,0.0004655
33,477.292,0.55627,0.65783,0.92596,0.95504,0.96522,0.97372,0.82804,0.5586,0.65139,0.95501,0.000416,0.000416,0.000416
34,493.443,0.54907,0.64191,0.9199,0.9816,0.92768,0.97761,0.8357,0.56347,0.64216,0.95783,0.0003665,0.0003665,0.0003665
35,508.568,0.54347,0.63601,0.92061,0.98471,0.93043,0.9813,0.82666,0.55803,0.63733,0.94759,0.000317,0.000317,0.000317
36,525.491,0.53157,0.61627,0.91956,0.99071,0.92711,0.9822,0.82534,0.55774,0.6258,0.9469,0.0002675,0.0002675,0.0002675
